Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,78,240.3,44.6,90.4,.493,15.8,41.3,.382,28.8,49.1,.586,17.2,22.0,.783,11.0,34.0,45.1,28.2,8.2,4.3,13.1,18.2,122.1
2,Memphis Grizzlies,78,240.3,44.7,93.3,.479,13.8,37.6,.367,30.9,55.7,.555,18.4,23.4,.786,12.9,34.5,47.4,28.5,8.8,5.7,15.8,20.9,121.7
3,Denver Nuggets,79,242.2,45.5,89.8,.506,12.1,32.1,.378,33.4,57.8,.578,17.7,23.0,.768,11.2,34.5,45.7,31.0,8.0,4.9,14.4,17.7,120.7
4,Oklahoma City Thunder,78,240.3,44.4,92.5,.481,14.5,38.7,.374,30.0,53.8,.557,16.7,20.3,.820,10.6,34.1,44.7,26.9,10.3,5.8,11.8,19.8,120.0
5,Atlanta Hawks,78,241.3,43.3,92.0,.471,13.4,37.6,.357,29.9,54.4,.549,18.1,23.2,.777,11.9,32.5,44.4,29.6,9.8,5.2,15.5,19.1,118.0
6,Chicago Bulls,78,241.0,43.2,92.0,.469,15.5,42.1,.369,27.6,49.8,.554,15.9,19.8,.806,9.9,35.7,45.6,29.0,7.5,4.7,14.6,17.8,117.8
7,Indiana Pacers,78,241.6,43.7,88.9,.491,13.3,35.7,.372,30.4,53.2,.572,16.8,21.2,.791,8.9,32.5,41.4,29.5,8.5,5.3,13.2,18.7,117.5
8,Boston Celtics,78,241.6,41.8,90.1,.463,17.9,48.3,.370,23.9,41.8,.572,15.5,19.3,.801,11.4,33.9,45.3,26.2,7.1,5.5,11.8,16.0,116.9
9,New York Knicks,78,242.2,43.5,89.1,.488,12.5,33.8,.370,30.9,55.3,.560,16.7,20.8,.802,10.8,32.0,42.8,27.5,8.1,3.9,13.3,17.0,116.1
10,Sacramento Kings,79,242.5,43.1,90.1,.478,12.6,35.3,.356,30.5,54.9,.556,17.3,21.5,.804,11.0,33.3,44.3,26.5,7.7,4.4,13.4,19.0,116.0
11,Detroit Pistons,79,241.3,42.5,89.6,.474,12.7,35.2,.361,29.8,54.4,.548,17.5,22.5,.779,11.4,33.6,44.9,26.3,8.1,5.2,14.9,20.7,115.2
12,Milwaukee Bucks,78,240.6,41.8,86.3,.485,14.0,36.4,.384,27.8,49.9,.558,17.2,23.0,.750,8.2,35.2,43.4,25.3,7.3,4.7,13.4,18.0,114.9
13,Dallas Mavericks,79,240.6,42.0,87.9,.478,12.5,34.3,.365,29.5,53.6,.550,17.9,23.2,.772,10.1,32.9,43.0,25.1,7.8,5.4,13.8,18.0,114.5
14,Houston Rockets,79,241.3,42.4,93.4,.454,12.5,35.6,.351,29.9,57.8,.518,17.0,23.0,.739,14.8,34.0,48.8,23.2,8.5,5.0,13.9,19.0,114.4
15,Phoenix Suns,78,241.9,41.3,86.2,.479,14.3,37.6,.380,27.0,48.5,.556,17.2,21.2,.812,9.5,33.0,42.5,27.8,7.1,4.8,14.0,18.2,114.0
16,Minnesota Timberwolves,78,241.9,40.9,87.6,.467,15.1,39.9,.378,25.8,47.7,.541,17.2,21.9,.788,11.1,33.1,44.2,26.1,8.1,4.9,14.5,18.2,114.0
17,San Antonio Spurs,78,240.6,41.8,90.0,.464,14.1,39.6,.355,27.7,50.4,.550,16.3,21.1,.773,11.1,32.7,43.8,28.8,8.2,5.7,13.8,16.7,113.9
18,Golden State Warriors,78,240.3,40.8,90.7,.450,15.4,42.4,.364,25.4,48.2,.527,16.6,21.8,.760,12.6,32.9,45.5,29.1,9.3,4.8,14.0,19.3,113.7
19,Los Angeles Lakers,78,240.6,40.9,85.5,.479,13.3,36.4,.364,27.7,49.1,.564,18.3,23.1,.789,9.6,32.9,42.4,26.1,7.7,4.5,13.8,17.3,113.4
20,Los Angeles Clippers,78,241.3,41.3,86.3,.479,12.4,33.6,.369,28.9,52.7,.549,17.4,21.9,.796,10.3,33.6,43.8,25.1,9.5,4.6,14.9,18.4,112.5
21,Utah Jazz,79,241.3,40.2,88.4,.455,13.9,39.6,.351,26.3,48.8,.539,17.4,22.6,.773,11.9,33.3,45.2,25.6,6.7,4.4,17.2,18.9,111.7
