Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Orlando Magic,78,240.6,38.0,81.2,.468,11.4,31.0,.367,26.6,50.2,.531,18.1,23.6,.768,9.0,33.1,42.1,22.7,7.8,4.4,16.1,20.4,105.6
2,Oklahoma City Thunder,78,240.3,37.9,86.8,.437,13.4,39.0,.344,24.5,47.8,.512,18.3,23.5,.776,11.6,33.2,44.8,24.6,6.7,4.8,17.1,18.2,107.5
3,Boston Celtics,78,241.6,40.4,89.2,.452,12.8,36.9,.348,27.5,52.3,.526,14.0,17.9,.782,10.5,32.9,43.4,24.0,6.9,3.6,12.7,17.7,107.6
4,Los Angeles Clippers,78,241.3,39.4,85.8,.459,12.8,37.1,.346,26.5,48.8,.544,16.4,21.2,.772,9.9,32.0,41.9,25.6,8.9,4.3,15.1,17.8,108.0
5,Houston Rockets,79,241.3,40.2,88.3,.455,12.2,34.6,.352,28.0,53.8,.521,16.3,21.5,.757,10.6,31.4,42.1,23.3,7.9,5.8,14.4,19.5,108.9
6,Minnesota Timberwolves,78,241.9,40.5,88.0,.461,12.6,35.8,.351,27.9,52.1,.536,15.8,20.5,.768,11.1,32.0,43.1,24.8,8.5,4.6,14.8,19.2,109.4
7,Miami Heat,79,243.2,41.2,88.5,.466,13.6,37.9,.358,27.6,50.5,.546,13.9,17.9,.776,10.8,33.9,44.7,26.4,7.6,4.7,13.8,17.0,109.9
8,Golden State Warriors,78,240.3,40.5,87.0,.466,13.2,36.2,.364,27.3,50.8,.539,16.5,21.5,.768,10.6,33.5,44.0,26.0,7.5,5.4,15.6,18.5,110.8
9,New York Knicks,78,242.2,41.6,88.1,.473,13.1,35.7,.367,28.5,52.4,.545,15.3,19.3,.793,11.0,30.9,41.9,25.4,7.1,5.0,14.4,18.9,111.7
10,Brooklyn Nets,78,241.3,40.4,84.4,.479,12.9,35.7,.361,27.5,48.6,.566,18.2,23.3,.780,10.2,33.4,43.6,27.0,8.0,5.7,15.0,18.9,111.9
11,Los Angeles Lakers,78,240.6,41.3,89.2,.463,13.5,38.1,.354,27.8,51.1,.544,16.1,20.6,.781,11.0,31.9,43.0,27.3,8.2,4.1,13.6,19.3,112.1
12,Cleveland Cavaliers,78,240.3,41.2,90.6,.455,13.4,37.3,.361,27.8,53.3,.520,16.5,21.2,.778,11.6,31.8,43.4,25.6,7.7,4.3,14.6,19.0,112.3
13,Milwaukee Bucks,78,240.6,41.5,90.9,.456,13.7,39.1,.352,27.7,51.8,.535,16.2,20.5,.788,10.9,34.4,45.3,26.3,7.4,3.8,12.8,18.9,112.9
14,Detroit Pistons,79,241.3,40.4,87.8,.460,13.5,37.2,.364,26.9,50.7,.530,18.9,24.4,.776,10.6,32.0,42.6,24.6,8.9,5.0,15.1,19.0,113.2
15,Charlotte Hornets,78,241.0,41.5,88.6,.468,14.0,39.4,.354,27.5,49.2,.559,17.1,21.7,.790,11.2,33.7,44.9,26.7,8.7,5.3,13.4,18.3,114.0
16,Portland Trail Blazers,79,240.9,41.7,88.3,.472,12.7,35.1,.362,29.0,53.2,.546,18.0,22.6,.799,11.9,32.2,44.1,26.2,9.4,5.5,15.3,19.2,114.2
17,Toronto Raptors,79,241.6,41.1,88.4,.465,13.2,37.9,.348,27.9,50.6,.552,19.7,25.4,.777,11.6,33.3,44.8,25.9,9.2,5.9,15.0,18.3,115.2
18,Indiana Pacers,78,241.6,42.6,89.5,.475,12.8,36.0,.356,29.7,53.5,.556,17.3,22.3,.776,11.1,33.7,44.8,26.1,7.2,4.3,14.9,18.6,115.2
19,Dallas Mavericks,79,240.6,43.0,91.5,.470,12.9,35.3,.364,30.1,56.2,.537,16.5,21.2,.780,12.0,33.3,45.3,27.2,7.9,4.6,13.3,18.8,115.4
20,Sacramento Kings,79,242.5,41.6,87.9,.473,14.7,38.4,.382,26.9,49.6,.543,17.7,22.6,.784,10.0,32.4,42.4,27.0,8.0,4.3,14.0,18.6,115.5
21,Philadelphia 76ers,79,241.6,42.4,86.5,.490,14.3,37.6,.380,28.1,48.9,.575,16.8,21.1,.794,11.4,33.8,45.2,28.3,7.4,5.2,16.0,18.6,115.8
22,Phoenix Suns,78,241.9,42.5,90.1,.472,14.2,38.6,.369,28.3,51.6,.549,17.3,22.0,.788,11.6,32.5,44.1,27.2,8.4,4.1,12.1,18.8,116.6
23,San Antonio Spurs,78,240.6,43.9,92.5,.474,14.3,39.3,.364,29.6,53.3,.555,14.7,18.6,.790,12.0,34.1,46.1,27.9,8.1,4.4,13.7,17.5,116.7
24,Memphis Grizzlies,78,240.3,41.9,92.1,.455,14.4,39.7,.362,27.5,52.4,.525,18.8,24.5,.770,11.7,31.9,43.6,27.1,8.8,5.6,15.1,20.3,117.0
25,Denver Nuggets,79,242.2,43.4,93.0,.466,14.1,38.7,.364,29.3,54.3,.539,16.2,20.8,.779,11.8,30.7,42.5,29.1,8.9,5.1,13.1,18.9,117.1
26,New Orleans Pelicans,78,241.0,43.5,90.3,.482,14.6,39.9,.365,29.0,50.4,.575,17.0,21.7,.786,11.9,33.7,45.6,28.7,8.9,5.3,14.1,17.9,118.7
27,Atlanta Hawks,78,241.3,43.6,90.2,.483,14.2,37.7,.376,29.4,52.5,.560,18.4,22.8,.807,10.2,33.5,43.7,28.3,9.2,4.9,16.1,19.1,119.8
28,Chicago Bulls,78,241.0,44.6,95.1,.469,13.6,39.5,.344,31.0,55.5,.558,17.2,21.8,.788,10.9,35.3,46.2,29.0,8.0,5.1,12.5,16.9,119.9
29,Washington Wizards,78,240.6,43.8,92.8,.472,14.4,39.2,.367,29.4,53.7,.549,18.6,23.5,.793,12.9,35.9,48.8,28.6,9.1,5.2,13.4,18.3,120.7
30,Utah Jazz,79,241.3,44.4,92.7,.479,14.8,41.3,.359,29.5,51.4,.575,17.4,22.7,.766,11.7,32.4,44.1,29.6,9.7,6.4,11.7,19.3,120.9
,League Average,78,241.2,41.7,89.2,.467,13.5,37.5,.360,28.2,51.7,.545,17.0,21.7,.781,11.1,33.0,44.1,26.5,8.2,4.9,14.3,18.7,113.8
